Municipality code;MSNM
88001;0
23419;0
88564;0
13657;1
44001;1
8573;1
70221;2
5659;2
47570;2
13001;2
52696;2
52250;2
5837;2
23500;3
44090;3
47189;3
44560;3
47001;3
52835;3
70820;4
23675;4
47551;4
8758;5
23815;5
8001;5
13894;5
47675;5
52390;5
47745;5
47258;5
47605;5
27495;5
27372;5
27077;5
23300;6
23586;6
27006;6
8137;7
47161;7
23417;7
76109;7
8770;8
13620;8
8685;8
8675;8
8141;8
52473;8
5490;8
8634;9
23464;9
8606;9
23574;9
23686;9
13433;9
13140;9
8520;10
8433;10
8560;10
8436;10
47541;10
13760;11
23678;12
13647;13
23189;13
27099;13
13442;14
47555;14
27150;14
23162;15
23168;15
13549;15
13468;16
13030;17
13300;18
13650;18
5873;18
23001;18
13188;19
13667;19
70771;19
13473;19
13673;20
13780;20
47268;20
13440;20
13248;20
70124;20
47980;20
47798;20
70708;20
13006;20
23068;20
47692;22
13212;22
70429;22
70678;22
27615;22
13074;23
52427;23
44847;23
47960;24
13810;24
47318;24
52079;24
47205;25
47703;25
70265;25
23090;25
47720;25
47545;25
13655;25
27425;25
47707;25
5475;25
27250;25
5147;28
13268;29
13580;29
13062;30
5045;30
5495;30
8421;31
20787;32
27001;32
47053;33
5172;34
70713;34
13600;34
27075;34
27135;35
27600;35
20383;35
47245;35
70523;40
13042;41
27450;41
23672;42
20175;42
13683;43
23466;44
47288;45
13744;45
27361;47
13430;49
27745;50
23350;50
20550;50
5051;50
20250;50
27205;50
20178;50
27800;50
27025;50
27430;50
44430;51
23807;51
99001;51
54553;51
27160;54
91798;54
70235;55
23682;55
23855;55
54810;55
27050;55
13160;59
13490;60
23079;60
13052;63
52520;65
68575;65
23580;66
13222;68
70823;68
52621;69
27580;70
23660;75
5480;75
5893;75
13670;75
20517;77
27787;78
13458;78
8558;80
8372;80
13838;80
70400;80
91001;80
94885;80
68081;81
8296;83
70110;87
23555;87
94883;88
27810;94
94001;94
8849;95
91540;96
91536;96
94884;96
8638;99
8078;100
13836;100
70233;100
47030;100
44035;100
47170;100
68573;100
27413;100
27491;100
99524;100
94886;100
97777;100
97889;100
23182;103
13873;110
20228;112
47460;112
91460;116
23670;117
20060;117
81001;119
20770;119
91407;119
94343;119
23570;120
81220;124
5585;125
20710;125
5579;125
99624;125
20013;131
68655;135
70717;137
20045;137
70742;140
47660;140
91430;141
70702;145
15572;145
91263;147
44078;149
50577;149
70215;150
5591;150
54250;150
20400;150
5895;150
5154;150
5250;150
94888;151
85325;152
91405;152
91530;156
13244;157
68190;159
70204;160
70473;160
70670;160
99773;161
20011;162
20621;165
81065;165
20001;169
91669;172
54385;174
50124;175
95001;175
44378;179
20295;180
20750;180
20238;180
95200;180
44279;181
47058;181
97001;182
70418;184
50590;184
85430;187
85139;187
85230;187
17380;190
81736;190
81591;190
44420;200
50606;200
5665;200
27073;200
50330;200
5120;200
97161;200
97666;200
86573;200
95015;200
50568;200
94887;200
97511;200
8832;203
18756;203
54261;204
44098;205
73349;206
70001;213
44650;216
50110;225
13654;227
50683;230
25086;231
50350;233
44874;235
73030;238
54673;240
50573;240
18001;242
95025;245
81300;246
44855;250
18785;250
85263;250
85125;250
86568;253
25324;255
44110;255
5790;255
25530;256
70508;258
25483;265
86569;272
73770;275
70230;280
18753;280
25612;282
25307;289
73275;290
85010;290
