Cod_Div,Municipio,Humedad
91430,LA VICTORIA,88.76124999999999
99001,PUERTO CARREÑO,88.42
5001,MEDELLÍN,92.0525
5002,ABEJORRAL,92.39874999999999
5004,ABRIAQUÍ,92.37
5021,ALEJANDRÍA,92.18625
5030,AMAGÁ,90.65125
5031,AMALFI,92.8075
5034,ANDES,94.03375
5036,ANGELÓPOLIS,90.38125
5038,ANGOSTURA,93.3725
5040,ANORÍ,92.66499999999999
5044,ANZÁ,89.66749999999999
5045,APARTADÓ,91.44624999999999
5051,ARBOLETES,85.39375
5055,ARGELIA,93.11749999999999
5059,ARMENIA,89.85
5079,BARBOSA,93.06625
5086,BELMIRA,91.41625
5088,BELLO,92.1375
5091,BETANIA,94.91
5093,BETULIA,90.77625
5101,CIUDAD BOLÍVAR,94.1775
5107,BRICEÑO,94.24125000000001
5113,BURITICÁ,91.82374999999999
5120,CÁCERES,90.095
5125,CAICEDO,90.11375000000001
5129,CALDAS,91.69125
5134,CAMPAMENTO,93.4975
5138,CAÑASGORDAS,92.0875
5142,CARACOLÍ,89.49625
5145,CARAMANTA,92.91499999999999
5147,CAREPA,92.56875
5148,EL CARMEN DE VIBORAL,92.82625
5150,CAROLINA,92.25
5154,CAUCASIA,89.60625
5172,CHIGORODÓ,92.26124999999999
5190,CISNEROS,92.34625
5197,COCORNÁ,91.47625000000001
5206,CONCEPCIÓN,92.91125
5209,CONCORDIA,90.67999999999999
5212,COPACABANA,92.79625
5234,DABEIBA,94.7975
5237,DONMATÍAS,93.04625
5240,EBÉJICO,89.385
5250,EL BAGRE,87.6925
5264,ENTRERRÍOS,92.9475
5266,ENVIGADO,92.245
5282,FREDONIA,91.0025
5284,FRONTINO,94.0025
5306,GIRALDO,91.27625
5308,GIRARDOTA,92.90625
5310,GÓMEZ PLATA,92.19500000000001
5313,GRANADA,91.63624999999999
5315,GUADALUPE,92.23125
5318,GUARNE,92.8875
5321,GUATAPÉ,91.65875
5347,HELICONIA,89.9625
5353,HISPANIA,92.99375
5360,ITAGÜÍ,91.775
5361,ITUANGO,94.515
5364,JARDÍN,93.75125
5368,JERICÓ,90.89874999999999
5376,LA CEJA,93.675
5380,LA ESTRELLA,91.33
5390,LA PINTADA,90.8875
5400,LA UNIÓN,93.2025
5411,LIBORINA,91.62125
5425,MACEO,90.46124999999999
5440,MARINILLA,92.70125
5467,MONTEBELLO,93.29375
5475,MURINDÓ,92.40125
5480,MUTATÁ,93.9075
5483,NARIÑO,93.97749999999999
5490,NECOCLÍ,87.18125
5495,NECHÍ,89.67
5501,OLAYA,90.81625
5541,PEÑOL,92.19874999999999
5543,PEQUE,94.17875000000001
5576,PUEBLORRICO,91.87375
5579,PUERTO BERRÍO,86.12375
5585,PUERTO NARE,86.995
5591,PUERTO TRIUNFO,86.795
5604,REMEDIOS,90.26124999999999
5607,RETIRO,94.0275
5615,RIONEGRO,92.94624999999999
5628,SABANALARGA,93.08500000000001
5631,SABANETA,91.80375000000001
5642,SALGAR,91.87375
5647,SAN ANDRÉS DE CUERQUÍA,93.82000000000001
5697,EL SANTUARIO,92.3425
8001,BARRANQUILLA,82.47625000000001
8078,BARANOA,84.86375000000001
8137,CAMPO DE LA CRUZ,83.97749999999999
8141,CANDELARIA,84.02125
8296,GALAPA,83.05375000000001
8372,JUAN DE ACOSTA,83.89
8421,LURUACO,85.1075
8433,MALAMBO,83.78625
8436,MANATÍ,84.97375
8520,PALMAR DE VARELA,84.6075
8549,PIOJÓ,83.8875
8558,POLONUEVO,84.84375
8560,PONEDERA,83.7375
8573,PUERTO COLOMBIA,81.95125
8606,REPELÓN,86.37875
8634,SABANAGRANDE,84.34875
8638,SABANALARGA,85.125
11000,BOGOTÁ. D.C.,85.81125
13001,CARTAGENA DE INDIAS,82.88875
13006,ACHÍ,90.18375
13030,ALTOS DEL ROSARIO,88.91375000000001
13042,ARENAL,87.86625000000001
13052,ARJONA,86.0775
13062,ARROYOHONDO,84.85375
