Municipality code;Tasa2007(x10000);Tasa2008(x10000);Tasa2009(x10000);Tasa2010(x10000);Tasa2011(x10000);Tasa2012(x10000);Tasa2013(x10000);Tasa2014(x10000);Tasa2015(x10000);Tasa2016(x10000);Tasa2017(x10000);Tasa2018(x10000);Tasa2019(x10000)
5001;0.02187106;3.905287682;1.771476146;66.15931776;3.369861172;2.958449756;9.642423369;12.97581228;15.56546006;71.49715185;8.697035057;4.828750347;5.137817112
5002;0;0.477463713;0;36.9936783;0.476803509;0;0;0;1.00517666;2.502627759;0.498827755;0.981980655;0
5004;0;0;0;12.74968126;0;0;0;0;0;7.877116975;0;3.710575139;7.380073801
5021;0;0;0;11.98753297;0;0;2.26295542;0;0;11.00594321;0;0;0
5030;0;0.705940489;0.349357183;102.9855404;4.5176536;1.057417786;1.061608691;1.055149128;41.82496253;67.57222644;5.776614904;0.992490158;5.198687331
5031;0;1.379627501;0;0;0.435976806;1.28314799;0.840795392;1.24249327;2.045491736;1.613293539;0.793493354;1.155535013;2.259716782
5034;0;0.723240116;0.239062874;9.487891079;0.709538563;0;1.18714089;2.126252126;3.294505236;44.16878113;1.407987985;0.462224687;0.228764898
5036;0;0;0;1.254233036;0;0;0;1.769598301;1.76709666;8.851124093;0;0;0
5038;0;0;0;1.88483649;0;0;0;1.802451334;3.579738679;0.89206066;0;0;0
5040;0;6.79281902;0;5.567928731;0.902771509;0.871763578;2.484060611;7.652865998;14.41515651;1.854140915;2.299643555;1.637465204;8.539253883
5042;1.281996496;7.606812323;34.26947509;125.9549866;9.378185525;7.242003621;43.76193507;41.03049671;50.61006709;44.921875;8.551327399;3.822045559;31.95729002
5044;0;1.517220452;0;55.49722514;29.75747657;0;13.17523057;40.74505239;2.897291033;0;1.448225923;0;7.05716302
5045;0.088323618;7.954738432;4.728385479;4.251022902;5.864794601;8.458776412;8.796802405;10.08542952;7.17366169;6.3971987;11.56573191;31.98267812;46.37095157
5051;0;15.83249863;3.842951387;1.594082765;4.886789379;18.4874525;14.29767053;9.398496241;15.27353513;17.66845661;17.32381678;32.77009729;16.36497228
5055;0;0;0;4.066693778;0;0;0;2.585983967;0;2.588326647;0;1.30055924;0
5059;1.886436521;24.25825714;1.84569952;27.40727206;3.664345914;3.700277521;3.706449222;16.70378619;16.91411389;30.66308931;0;0;1.966568338
5079;0;0.448752468;2.662111498;21.93704069;4.545356161;2.776709812;7.820426108;2.931016435;3.522002155;25.54252319;21.40942014;15.00894764;7.512865783
5086;0;1.70998632;0;0;0;0;0;0;0;5.070136894;0;1.666666667;0
5088;0.051973161;3.907575555;2.366201483;34.25217345;3.728026862;3.357233639;10.67655653;14.61257275;13.26894059;36.33659026;4.042966428;1.70411899;1.634087056
5091;0;0;0;18.63585539;0;0;1.979218209;2.963548355;3.93972225;113.1778368;10.81825334;2.906131938;1.946661476
5093;0;2.504225881;0.622122683;3.711722858;0;1.295672454;1.310701881;1.305738722;1.301913813;31.87199167;7.800312012;5.125905043;0.635485511
5101;4.483067798;10.2305279;19.23206694;124.7207123;9.889240506;2.933889686;17.21114503;13.15616366;16.07112327;30.45133225;6.826197429;3.44589938;3.822629969
5107;0;0;0;0;0;2.502815668;3.822629969;2.546797402;2.535175561;1.266624446;5.05944852;33.58626695;8.679479231
5113;0;0;0;1.360914535;0;0;1.272912424;1.246882793;3.657198586;14.13760603;29.41509221;1.069061364;10.52410019
5120;0;1.403459528;5.216665507;6.551950067;2.420805091;3.515309171;5.996472663;21.78572684;7.349595772;2.796322835;1.749965001;27.59001242;8.412976174
5125;0;0;0;2.561147394;1.262307498;1.249687578;0;0;1.224289912;9.787129924;1.22488976;0;0
5129;0;0;0;0;0;0.936818297;2.117886878;1.968245637;2.345093543;22.4934071;0.639566118;0.878977373;1.592005682
5134;0;0;0;1.819174095;1.583029919;0;0;4.82043866;0;3.401360544;0;0;0
5138;0;1.151808339;3.423094477;0.569605833;3.524229075;1.26366336;17.70375713;1.31414679;49.14165902;16.99568571;3.922594142;0.644205373;1.936733376
5142;0;6.069188752;0;0;5.860519633;0;32.64835798;71.18122355;9.738994936;10.13376571;6.389776358;6.547359232;35.265594
5145;0;1.78412132;0;0;0;0;0;0;0;1.92159877;0;0;0
5147;0.23059008;5.478076282;11.9722605;16.08650967;11.25206839;16.09920592;11.83992422;14.52618987;13.61731101;21.45056812;3.174468806;19.40248686;20.74145673
5148;0;0.454070744;0;0.650420605;0.211188782;0;0.598659004;0.776487945;0.376371403;0.907852928;0.175152821;0;0
5150;0;0;0;0;2.373605507;2.345765893;0;0;0;2.419549964;0;2.529084471;0
5154;0;7.36678399;2.666110261;8.032773717;9.7479144;5.699279209;3.870439793;6.152899554;11.51277918;6.268902942;1.770675402;10.53063306;7.415846266
5172;0;2.646052656;1.694851418;4.482378649;3.137341749;9.09802209;7.923074153;9.295341604;1.245529439;2.839648593;3.181111268;23.35511983;27.435076
5190;0;16.90533015;2.95362804;12.67427123;6.726241953;3.794346424;19.8019802;20.69614299;23.80045697;79.99219588;43.28568552;4.092071611;27.42787485
5197;0;0.644620641;0;1.854255516;0;1.187507422;0;0.580990007;0.583192395;22.72455448;1.253132832;0.647500648;11.30168861
5206;0;0;0;4.17275193;0;0;3.99840064;3.961180432;0;2.021835827;0;0;0
5209;0;0.92992979;0;1.37337484;0.923915554;0.474405807;0.478583393;0.477532114;0.951067573;4.277769856;0.949757812;0;0.930059524
5212;0;2.642788297;0.769124275;33.53922268;1.031991744;0.699447437;5.554426607;25.15386674;9.301954739;37.38144929;4.974212635;1.797545067;4.375
5234;0.48828125;12.52649836;0;34.29161969;6.016290263;13.22268831;13.52935871;2.234636872;5.327413984;2.65627767;2.648655807;1.301857316;62.35218233
5237;0;0;0;0.565642853;0;0;0;1.08371715;2.158894646;1.615074024;1.072501073;1.058089091;0.517277054
